OFFICIAL MEASUREMENT
TIME,DELAY,INITIAL PERCENTAGE,,SPEED


3.005202,-0.004803,0.484902,,192.998670
5.181911,0.003444,0.148313,,185.066861
5.727087,-0.006878,0.000000,,196.609550

7.083066,-0.006476,0.242451,,120.428075
8.527151,0.000554,0.080817,,121.376998
8.075156,0.001570,0.084369,,127.675552

6.666926,-0.000246,0.228242,,130.344927
8.258574,-0.008267,0.042629,,130.531009
7.891106,-0.004550,0.069272,,132.807744

6.256233,-0.006993,0.265542,,132.188167
8.179249,-0.008488,0.071048,,127.884601
8.151506,-0.005928,0.065719,,129.055904
8.187496,-0.000666,0.067496,,128.244338
7.650913,-0.005923,0.110124,,130.964762
8.455534,-0.008410,0.033748,,128.673127
8.069650,-0.007039,0.051510,,132.347748
8.080390,-0.005791,0.077265,,128.582903
8.308465,0.000576,0.040853,,129.987910
7.882021,0.019524,0.110124,,127.124757

5.547468,-0.002767,0.308171,,140.424426
8.171483,-0.007885,0.056838,,129.964169
8.130632,0.000918,0.071048,,128.649287
8.796829,-0.007287,0.055950,,120.838998
8.370889,-0.001121,0.047069,,128.182324
8.018213,-0.000555,0.103908,,125.838512
8.049437,-0.007103,0.108348,,124.729219
7.794497,-0.006333,0.079929,,132.914285
8.154873,-0.004860,0.034636,,133.294532
8.518210,0.001628,0.054174,,125.026268
7.862108,-0.007364,0.108348,,127.701120
8.087092,-0.006835,0.096803,,125.755959
8.019089,-0.006443,0.067496,,130.937567
8.630762,-0.003469,0.031083,,126.408308
8.458884,-0.008325,0.059503,,125.193820
7.679500,-0.006809,0.101243,,131.779415
7.920947,-0.006770,0.081705,,130.539946
8.234527,-0.004600,0.078153,,126.054597
8.056157,-0.002380,0.073712,,129.466194
7.755679,-0.007198,0.068384,,135.255729
7.637235,-0.007744,0.095915,,133.294315
7.905827,0.000248,0.087922,,129.904183
8.317083,0.001068,0.058615,,127.448528
8.265075,-0.003680,0.036412,,131.275276
8.059336,-0.005960,0.067496,,130.283687
8.501467,0.001864,0.045293,,126.448765
8.323178,-0.005818,0.066607,,126.273882
7.787708,-0.001218,0.101243,,129.948374
7.511993,0.000860,0.102131,,134.584791
8.121044,-0.005730,0.107460,,123.752563
8.813119,-0.001978,0.043517,,122.204183
7.978134,-0.005420,0.063055,,132.236437
8.019382,-0.007557,0.095915,,126.942450
7.963409,-0.003442,0.086146,,129.216019
8.364719,-0.008044,0.058615,,126.722728
8.543488,-0.008170,0.044405,,125.943876
7.952847,0.000936,0.081705,,130.016332
7.939367,0.001226,0.080817,,130.363037
8.257404,0.002313,0.058615,,128.369645
8.367476,-0.008086,0.070160,,125.127335
8.758298,0.000581,0.055062,,121.484792
8.345243,-0.002769,0.086146,,123.303780
8.406180,-0.006596,0.091474,,121.696179
8.134355,-0.004355,0.099467,,124.656471
7.905625,-0.001598,0.089698,,129.654516
8.401244,-0.004010,0.044405,,128.076268
8.450601,-0.000260,0.048845,,126.736550
8.411962,0.002210,0.093250,,121.374775
8.385713,-0.006384,0.047069,,127.955725
8.105878,-0.003805,0.027531,,135.087153
8.156822,-0.003850,0.078153,,127.255440
8.525787,-0.007631,0.053286,,125.032447
